bmrb_id,manifest_status,exclude_from_filtered_dataset,reason_codes,reason_summary,ligand_flag,paramagnetic_or_aromatic_ligand_flag,eight_sigma_outlier_flag,carbon_bound_proton_extreme_flag,withdrawn_entry_flag,rule_version,built_at
284,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
285,excluded,yes,paramagnetic_or_aromatic_ligand;eight_sigma_outlier;carbon_bound_proton_extreme,paramagnetic or aromatic ligand; eight-sigma outlier; carbon-bound proton extreme,yes,yes,yes,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
286,excluded,yes,paramagnetic_or_aromatic_ligand;carbon_bound_proton_extreme,paramagnetic or aromatic ligand; carbon-bound proton extreme,yes,yes,no,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
287,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
288,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
289,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
290,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
291,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
292,excluded,yes,eight_sigma_outlier;carbon_bound_proton_extreme,eight-sigma outlier; carbon-bound proton extreme,unknown,unknown,yes,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
293,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
294,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
295,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
298,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
300,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
301,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
302,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
306,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
307,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
308,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
309,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
311,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
314,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
316,excluded,yes,paramagnetic_or_aromatic_ligand;eight_sigma_outlier;carbon_bound_proton_extreme,paramagnetic or aromatic ligand; eight-sigma outlier; carbon-bound proton extreme,yes,yes,yes,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
317,excluded,yes,paramagnetic_or_aromatic_ligand;eight_sigma_outlier;carbon_bound_proton_extreme,paramagnetic or aromatic ligand; eight-sigma outlier; carbon-bound proton extreme,yes,yes,yes,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
321,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
325,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
326,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
327,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
329,excluded,yes,eight_sigma_outlier,eight-sigma outlier,unknown,unknown,yes,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
330,excluded,yes,paramagnetic_or_aromatic_ligand;eight_sigma_outlier;carbon_bound_proton_extreme,paramagnetic or aromatic ligand; eight-sigma outlier; carbon-bound proton extreme,yes,yes,yes,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
331,excluded,yes,eight_sigma_outlier;carbon_bound_proton_extreme,eight-sigma outlier; carbon-bound proton extreme,unknown,unknown,yes,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
335,included,no,,included,unknown,unknown,no,no,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
336,excluded,yes,carbon_bound_proton_extreme,carbon-bound proton extreme,unknown,unknown,no,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
337,excluded,yes,carbon_bound_proton_extreme,carbon-bound proton extreme,yes,unknown,no,yes,no,filtered_entry_manifest_v1,2026-04-06T15:44:44
